X: (s),Y: (Hits)
1.54925e-05,0
1.5761e-05,0
1.60295e-05,0
1.6298e-05,0
1.65665e-05,0
1.6835e-05,0
1.71035e-05,0
1.73719e-05,0
1.76404e-05,0
1.79089e-05,0
1.81774e-05,0
1.84459e-05,0
1.87144e-05,0
1.89829e-05,0
1.92514e-05,0
1.95199e-05,0
1.97884e-05,0
2.00568e-05,0
2.03253e-05,0
2.05938e-05,0
2.08623e-05,0
2.11308e-05,0
2.13993e-05,0
2.16678e-05,0
2.19363e-05,0
2.22048e-05,0
2.24733e-05,0
2.27418e-05,0
2.30102e-05,0
2.32787e-05,0
2.35472e-05,0
2.38157e-05,0
2.40842e-05,0
2.43527e-05,0
2.46212e-05,0
2.48897e-05,0
2.51582e-05,0
2.54267e-05,0
2.56951e-05,0
2.59636e-05,0
2.62321e-05,0
2.65006e-05,0
2.67691e-05,0
2.70376e-05,0
2.73061e-05,0
2.75746e-05,0
2.78431e-05,0
2.81116e-05,0
2.838e-05,0
2.86485e-05,0
2.8917e-05,0
2.91855e-05,0
2.9454e-05,0
2.97225e-05,796
2.9991e-05,0
3.02595e-05,0
3.0528e-05,0
3.07965e-05,0
3.10649e-05,0
3.13334e-05,0
3.16019e-05,0
3.18704e-05,0
3.21389e-05,0
3.24074e-05,0
3.26759e-05,0
3.29444e-05,0
3.32129e-05,0
3.34814e-05,0
3.37498e-05,0
3.40183e-05,0
3.42868e-05,0
3.45553e-05,0
3.48238e-05,0
3.50923e-05,0
3.53608e-05,0
3.56293e-05,0
3.58978e-05,0
3.61663e-05,0
3.64347e-05,0
3.67032e-05,0
3.69717e-05,0
3.72402e-05,0
3.75087e-05,0
3.77772e-05,0
3.80457e-05,0
3.83142e-05,0
3.85827e-05,0
3.88512e-05,0
3.91196e-05,0
3.93881e-05,0
3.96566e-05,0
3.99251e-05,0
4.01936e-05,0
4.04621e-05,0
4.07306e-05,0
4.09991e-05,0
4.12676e-05,0
4.15361e-05,0
4.18045e-05,0
4.2073e-05,0
4.23415e-05,0
4.261e-05,0
4.28785e-05,0
4.3147e-05,0
4.34155e-05,0
4.3684e-05,0
4.39525e-05,0
4.4221e-05,0
4.44894e-05,0
4.47579e-05,0
4.50264e-05,0
4.52949e-05,0
4.55634e-05,0
4.58319e-05,0
4.61004e-05,0
4.63689e-05,0
4.66374e-05,0
4.69059e-05,0
4.71743e-05,0
4.74428e-05,0
4.77113e-05,0
4.79798e-05,0
4.82483e-05,0
4.85168e-05,0
4.87853e-05,0
4.90538e-05,0
4.93223e-05,0
4.95908e-05,0
4.98593e-05,0
5.01277e-05,0
5.03962e-05,0
5.06647e-05,0
5.09332e-05,0
5.12017e-05,0
5.14702e-05,0
5.17387e-05,0
5.20072e-05,0
5.22757e-05,0
5.25442e-05,0
5.28126e-05,0
5.30811e-05,0
5.33496e-05,0
5.36181e-05,0
5.38866e-05,0
5.41551e-05,0
5.44236e-05,0
5.46921e-05,0
5.49606e-05,0
5.52291e-05,0
5.54975e-05,0
5.5766e-05,0
5.60345e-05,0
5.6303e-05,0
5.65715e-05,0
5.684e-05,0
5.71085e-05,0
5.7377e-05,0
5.76455e-05,0
5.7914e-05,0
5.81824e-05,0
5.84509e-05,0
5.87194e-05,0
5.89879e-05,0
5.92564e-05,0
5.95249e-05,0
5.97934e-05,0
6.00619e-05,0
6.03304e-05,0
6.05989e-05,0
6.08673e-05,0
6.11358e-05,0
6.14043e-05,0
6.16728e-05,0
6.19413e-05,0
6.22098e-05,0
6.24783e-05,0
6.27468e-05,0
6.30153e-05,0
6.32838e-05,0
6.35522e-05,0
6.38207e-05,1
6.40892e-05,1
6.43577e-05,0
6.46262e-05,0
6.48947e-05,0
6.51632e-05,0
6.54317e-05,0
6.57002e-05,0
6.59687e-05,0
6.62371e-05,0
6.65056e-05,0
6.67741e-05,0
6.70426e-05,0
6.73111e-05,0
6.75796e-05,0
6.78481e-05,0
6.81166e-05,0
6.83851e-05,0
6.86536e-05,0
6.8922e-05,0
6.91905e-05,0
6.9459e-05,0
6.97275e-05,0
6.9996e-05,0
7.02645e-05,0
7.0533e-05,0
7.08015e-05,0
7.107e-05,0
7.13385e-05,0
7.16069e-05,0
7.18754e-05,0
7.21439e-05,0
7.24124e-05,0
7.26809e-05,0
7.29494e-05,0
7.32179e-05,0
7.34864e-05,0
7.37549e-05,0
7.40234e-05,1
7.42918e-05,0
7.45603e-05,1
7.48288e-05,0
7.50973e-05,0
7.53658e-05,0
7.56343e-05,0
7.59028e-05,0
7.61713e-05,0
7.64398e-05,0
7.67083e-05,0
7.69768e-05,0
7.72452e-05,0
7.75137e-05,0
7.77822e-05,0
7.80507e-05,0
7.83192e-05,0
7.85877e-05,0
7.88562e-05,0
7.91247e-05,0
7.93932e-05,0
7.96617e-05,0
7.99301e-05,0
8.01986e-05,0
8.04671e-05,0
8.07356e-05,0
8.10041e-05,0
8.12726e-05,0
8.15411e-05,0
8.18096e-05,0
8.20781e-05,0
8.23466e-05,0
8.2615e-05,0
8.28835e-05,0
8.3152e-05,0
8.34205e-05,0
8.3689e-05,0
8.39575e-05,0
8.4226e-05,0
8.44945e-05,0
8.4763e-05,0
8.50315e-05,0
8.52999e-05,0
8.55684e-05,0
8.58369e-05,0
8.61054e-05,0
