X: (s),Y: (Hits)
1.1529e-05,0
1.15433e-05,0
1.15576e-05,0
1.15719e-05,0
1.15862e-05,0
1.16006e-05,0
1.16149e-05,0
1.16292e-05,0
1.16435e-05,0
1.16578e-05,0
1.16721e-05,0
1.16864e-05,0
1.17007e-05,0
1.1715e-05,0
1.17294e-05,0
1.17437e-05,0
1.1758e-05,0
1.17723e-05,0
1.17866e-05,0
1.18009e-05,0
1.18152e-05,0
1.18295e-05,0
1.18439e-05,0
1.18582e-05,0
1.18725e-05,0
1.18868e-05,0
1.19011e-05,0
1.19154e-05,0
1.19297e-05,0
1.1944e-05,0
1.19584e-05,0
1.19727e-05,0
1.1987e-05,0
1.20013e-05,0
1.20156e-05,0
1.20299e-05,0
1.20442e-05,0
1.20585e-05,0
1.20728e-05,0
1.20872e-05,0
1.21015e-05,0
1.21158e-05,0
1.21301e-05,0
1.21444e-05,0
1.21587e-05,0
1.2173e-05,0
1.21873e-05,0
1.22017e-05,0
1.2216e-05,0
1.22303e-05,0
1.22446e-05,0
1.22589e-05,0
1.22732e-05,0
1.22875e-05,0
1.23018e-05,0
1.23161e-05,0
1.23305e-05,0
1.23448e-05,0
1.23591e-05,0
1.23734e-05,0
1.23877e-05,0
1.2402e-05,0
1.24163e-05,0
1.24306e-05,0
1.2445e-05,0
1.24593e-05,0
1.24736e-05,0
1.24879e-05,0
1.25022e-05,0
1.25165e-05,0
1.25308e-05,0
1.25451e-05,0
1.25595e-05,0
1.25738e-05,0
1.25881e-05,0
1.26024e-05,0
1.26167e-05,0
1.2631e-05,0
1.26453e-05,0
1.26596e-05,0
1.26739e-05,0
1.26883e-05,0
1.27026e-05,0
1.27169e-05,0
1.27312e-05,0
1.27455e-05,0
1.27598e-05,0
1.27741e-05,0
1.27884e-05,0
1.28028e-05,0
1.28171e-05,0
1.28314e-05,0
1.28457e-05,0
1.286e-05,0
1.28743e-05,0
1.28886e-05,0
1.29029e-05,0
1.29173e-05,0
1.29316e-05,0
1.29459e-05,0
1.29602e-05,0
1.29745e-05,0
1.29888e-05,0
