X: (s),Y: (Hits)
1.13769e-05,0
1.13782e-05,0
1.13795e-05,0
1.13807e-05,0
1.1382e-05,0
1.13833e-05,0
1.13845e-05,0
1.13858e-05,0
1.1387e-05,0
1.13883e-05,0
1.13896e-05,0
1.13908e-05,0
1.13921e-05,0
1.13934e-05,0
1.13946e-05,0
1.13959e-05,0
1.13972e-05,0
1.13984e-05,0
1.13997e-05,0
1.14009e-05,0
1.14022e-05,0
1.14035e-05,0
1.14047e-05,0
1.1406e-05,0
1.14073e-05,0
1.14085e-05,0
1.14098e-05,0
1.14111e-05,0
1.14123e-05,0
1.14136e-05,0
1.14149e-05,0
1.14161e-05,0
1.14174e-05,0
1.14186e-05,0
1.14199e-05,0
1.14212e-05,0
1.14224e-05,0
1.14237e-05,0
1.1425e-05,0
1.14262e-05,0
1.14275e-05,0
1.14288e-05,0
1.143e-05,0
1.14313e-05,0
1.14325e-05,0
1.14338e-05,0
1.14351e-05,0
1.14363e-05,0
1.14376e-05,0
1.14389e-05,0
1.14401e-05,0
1.14414e-05,0
1.14427e-05,0
1.14439e-05,0
1.14452e-05,0
1.14465e-05,0
1.14477e-05,0
1.1449e-05,0
1.14502e-05,0
1.14515e-05,0
1.14528e-05,0
1.1454e-05,0
1.14553e-05,0
1.14566e-05,0
1.14578e-05,0
1.14591e-05,0
1.14604e-05,0
1.14616e-05,0
1.14629e-05,0
1.14641e-05,0
1.14654e-05,0
1.14667e-05,0
1.14679e-05,0
1.14692e-05,0
1.14705e-05,0
1.14717e-05,0
1.1473e-05,0
1.14743e-05,0
1.14755e-05,0
1.14768e-05,0
1.1478e-05,0
1.14793e-05,0
1.14806e-05,0
1.14818e-05,0
1.14831e-05,0
1.14844e-05,0
1.14856e-05,0
1.14869e-05,0
1.14882e-05,0
1.14894e-05,0
1.14907e-05,0
1.1492e-05,0
1.14932e-05,0
1.14945e-05,0
1.14957e-05,0
1.1497e-05,0
1.14983e-05,0
1.14995e-05,0
1.15008e-05,0
1.15021e-05,0
1.15033e-05,0
1.15046e-05,0
1.15059e-05,0
1.15071e-05,0
1.15084e-05,0
1.15096e-05,0
1.15109e-05,0
1.15122e-05,0
1.15134e-05,0
1.15147e-05,0
1.1516e-05,0
1.15172e-05,0
1.15185e-05,0
1.15198e-05,0
1.1521e-05,0
1.15223e-05,0
1.15236e-05,0
1.15248e-05,0
1.15261e-05,0
1.15273e-05,0
1.15286e-05,0
1.15299e-05,0
1.15311e-05,0
1.15324e-05,0
1.15337e-05,0
1.15349e-05,0
1.15362e-05,0
1.15375e-05,0
1.15387e-05,0
1.154e-05,0
1.15412e-05,0
1.15425e-05,0
1.15438e-05,0
1.1545e-05,0
1.15463e-05,0
1.15476e-05,0
1.15488e-05,0
1.15501e-05,0
1.15514e-05,0
1.15526e-05,0
1.15539e-05,0
1.15552e-05,0
1.15564e-05,0
1.15577e-05,0
1.15589e-05,0
1.15602e-05,0
1.15615e-05,0
1.15627e-05,0
1.1564e-05,0
1.15653e-05,0
1.15665e-05,0
1.15678e-05,0
1.15691e-05,0
1.15703e-05,0
1.15716e-05,0
