X: (s),Y: (Hits)
2.48903e-05,0
2.48931e-05,0
2.48958e-05,0
2.48986e-05,0
2.49014e-05,0
2.49041e-05,0
2.49069e-05,0
2.49096e-05,0
2.49124e-05,0
2.49152e-05,0
2.49179e-05,0
2.49207e-05,0
2.49235e-05,0
2.49262e-05,0
2.4929e-05,0
2.49318e-05,0
2.49345e-05,0
2.49373e-05,0
2.49401e-05,0
2.49428e-05,0
2.49456e-05,0
2.49484e-05,0
2.49511e-05,0
2.49539e-05,0
2.49567e-05,0
2.49594e-05,0
2.49622e-05,0
2.4965e-05,0
2.49677e-05,0
2.49705e-05,0
2.49732e-05,0
2.4976e-05,0
2.49788e-05,0
2.49815e-05,0
2.49843e-05,0
2.49871e-05,0
2.49898e-05,0
2.49926e-05,0
2.49954e-05,0
2.49981e-05,0
2.50009e-05,0
2.50037e-05,0
2.50064e-05,0
2.50092e-05,0
2.5012e-05,0
2.50147e-05,0
2.50175e-05,0
2.50203e-05,0
2.5023e-05,0
2.50258e-05,0
2.50286e-05,0
2.50313e-05,0
2.50341e-05,0
2.50369e-05,0
2.50396e-05,0
2.50424e-05,0
2.50451e-05,0
2.50479e-05,0
2.50507e-05,0
2.50534e-05,0
2.50562e-05,0
2.5059e-05,0
2.50617e-05,0
2.50645e-05,0
2.50673e-05,0
2.507e-05,0
2.50728e-05,0
2.50756e-05,0
2.50783e-05,0
2.50811e-05,0
2.50839e-05,0
2.50866e-05,0
2.50894e-05,0
2.50922e-05,0
2.50949e-05,0
2.50977e-05,0
2.51005e-05,0
2.51032e-05,0
2.5106e-05,0
2.51087e-05,0
2.51115e-05,0
2.51143e-05,0
2.5117e-05,0
2.51198e-05,0
2.51226e-05,0
2.51253e-05,0
2.51281e-05,0
2.51309e-05,0
2.51336e-05,0
2.51364e-05,0
2.51392e-05,0
2.51419e-05,0
2.51447e-05,0
2.51475e-05,0
2.51502e-05,0
2.5153e-05,0
2.51558e-05,0
2.51585e-05,0
2.51613e-05,0
2.51641e-05,0
2.51668e-05,0
2.51696e-05,0
2.51724e-05,0
2.51751e-05,0
2.51779e-05,0
2.51806e-05,0
2.51834e-05,0
2.51862e-05,0
2.51889e-05,0
2.51917e-05,0
2.51945e-05,0
2.51972e-05,0
2.52e-05,0
2.52028e-05,0
2.52055e-05,0
2.52083e-05,0
2.52111e-05,0
2.52138e-05,0
2.52166e-05,0
2.52194e-05,0
2.52221e-05,0
2.52249e-05,0
2.52277e-05,0
2.52304e-05,0
2.52332e-05,0
2.5236e-05,0
2.52387e-05,0
2.52415e-05,0
2.52442e-05,0
2.5247e-05,0
2.52498e-05,0
2.52525e-05,0
2.52553e-05,0
2.52581e-05,0
2.52608e-05,0
2.52636e-05,0
2.52664e-05,0
2.52691e-05,0
2.52719e-05,0
2.52747e-05,0
2.52774e-05,0
2.52802e-05,0
2.5283e-05,0
2.52857e-05,0
2.52885e-05,0
2.52913e-05,0
2.5294e-05,0
2.52968e-05,0
2.52996e-05,0
2.53023e-05,0
2.53051e-05,0
2.53078e-05,0
2.53106e-05,0
2.53134e-05,0
2.53161e-05,0
2.53189e-05,0
2.53217e-05,0
2.53244e-05,0
2.53272e-05,0
2.533e-05,0
2.53327e-05,0
2.53355e-05,0
2.53383e-05,0
2.5341e-05,0
2.53438e-05,0
2.53466e-05,0
2.53493e-05,0
2.53521e-05,0
2.53549e-05,0
2.53576e-05,0
2.53604e-05,0
2.53632e-05,0
2.53659e-05,0
2.53687e-05,0
2.53715e-05,0
2.53742e-05,0
2.5377e-05,0
2.53797e-05,0
2.53825e-05,0
2.53853e-05,0
2.5388e-05,0
2.53908e-05,0
2.53936e-05,0
2.53963e-05,0
2.53991e-05,0
2.54019e-05,0
2.54046e-05,0
2.54074e-05,0
2.54102e-05,0
2.54129e-05,0
2.54157e-05,0
2.54185e-05,0
2.54212e-05,0
2.5424e-05,0
2.54268e-05,0
2.54295e-05,0
2.54323e-05,0
2.54351e-05,0
2.54378e-05,0
2.54406e-05,0
2.54433e-05,0
2.54461e-05,0
2.54489e-05,0
2.54516e-05,0
2.54544e-05,0
2.54572e-05,0
2.54599e-05,0
2.54627e-05,0
2.54655e-05,0
2.54682e-05,0
2.5471e-05,0
2.54738e-05,0
2.54765e-05,0
2.54793e-05,0
2.54821e-05,0
2.54848e-05,0
2.54876e-05,0
2.54904e-05,0
2.54931e-05,0
2.54959e-05,0
2.54987e-05,0
2.55014e-05,0
2.55042e-05,0
2.55069e-05,0
2.55097e-05,0
2.55125e-05,0
2.55152e-05,0
2.5518e-05,0
2.55208e-05,0
2.55235e-05,0
2.55263e-05,0
2.55291e-05,0
2.55318e-05,0
2.55346e-05,0
2.55374e-05,0
2.55401e-05,0
2.55429e-05,0
2.55457e-05,0
2.55484e-05,0
2.55512e-05,0
2.5554e-05,0
2.55567e-05,0
2.55595e-05,0
2.55623e-05,0
2.5565e-05,0
2.55678e-05,0
2.55706e-05,0
2.55733e-05,0
2.55761e-05,0
2.55788e-05,0
2.55816e-05,0
2.55844e-05,0
2.55871e-05,0
2.55899e-05,0
2.55927e-05,0
2.55954e-05,0
2.55982e-05,0
2.5601e-05,0
2.56037e-05,0
2.56065e-05,0
2.56093e-05,0
2.5612e-05,0
2.56148e-05,0
2.56176e-05,0
2.56203e-05,0
2.56231e-05,0
2.56259e-05,0
2.56286e-05,0
2.56314e-05,0
2.56342e-05,0
2.56369e-05,0
2.56397e-05,0
2.56424e-05,0
2.56452e-05,0
2.5648e-05,0
2.56507e-05,0
2.56535e-05,0
2.56563e-05,0
2.5659e-05,0
2.56618e-05,0
2.56646e-05,0
2.56673e-05,0
2.56701e-05,0
2.56729e-05,0
2.56756e-05,0
2.56784e-05,0
2.56812e-05,0
2.56839e-05,0
2.56867e-05,0
2.56895e-05,0
2.56922e-05,0
2.5695e-05,0
2.56978e-05,0
2.57005e-05,0
2.57033e-05,0
2.5706e-05,0
2.57088e-05,0
2.57116e-05,0
2.57143e-05,0
2.57171e-05,0
2.57199e-05,0
2.57226e-05,0
2.57254e-05,0
2.57282e-05,0
2.57309e-05,0
2.57337e-05,0
2.57365e-05,0
2.57392e-05,0
2.5742e-05,0
2.57448e-05,0
2.57475e-05,0
2.57503e-05,0
2.57531e-05,0
2.57558e-05,0
2.57586e-05,0
2.57614e-05,0
2.57641e-05,0
2.57669e-05,0
2.57697e-05,0
2.57724e-05,0
2.57752e-05,0
2.57779e-05,0
2.57807e-05,0
2.57835e-05,0
2.57862e-05,0
2.5789e-05,0
2.57918e-05,0
2.57945e-05,0
2.57973e-05,0
2.58001e-05,0
2.58028e-05,0
2.58056e-05,0
2.58084e-05,0
2.58111e-05,0
2.58139e-05,0
2.58167e-05,0
2.58194e-05,0
2.58222e-05,0
2.5825e-05,0
2.58277e-05,0
2.58305e-05,0
2.58333e-05,0
2.5836e-05,0
2.58388e-05,0
2.58415e-05,0
2.58443e-05,0
2.58471e-05,0
2.58498e-05,0
2.58526e-05,0
2.58554e-05,0
2.58581e-05,0
2.58609e-05,0
2.58637e-05,0
2.58664e-05,0
2.58692e-05,0
2.5872e-05,0
